AÑO,UNIVERSIDAD,CARRERA,MATRICULADOS,REGION_PLANIFICACION_SEDE,GAM_SEDE,GRADO_ACADEMICO,NIVEL_ACADEMICO,NIVEL_CINE,AREA_CONOCIMIENTO,DISCIPLINA,AREA_UNESCO,DISCIPLINA_UNESCO,STEM_MICITT
2021,Tecnológico de Costa Rica,Administración de Empresas,2006,Región Central,GAM,Bachillerato,Grado,CINE 6,Ciencias Económicas,Administración,Administración de Empresas y Derecho,Educación Comercial y Administración,NO STEM
2021,Tecnológico de Costa Rica,Administración de Empresas énfasis Administración Financiera,98,Región Central,GAM,Licenciatura,Grado,CINE 6,Ciencias Económicas,Finanzas,Administración de Empresas y Derecho,Educación Comercial y Administración,NO STEM
2021,Tecnológico de Costa Rica,Administración de Empresas énfasis Contaduría Pública,46,Región Central,GAM,Licenciatura,Grado,CINE 6,Ciencias Económicas,Contaduría,Administración de Empresas y Derecho,Educación Comercial y Administración,NO STEM
2021,Tecnológico de Costa Rica,Administración de Empresas énfasis Mercadeo,53,Región Central,GAM,Licenciatura,Grado,CINE 6,Ciencias Económicas,Mercadeo,Administración de Empresas y Derecho,Educación Comercial y Administración,NO STEM
2021,Tecnológico de Costa Rica,Administración de Empresas énfasis Recursos Humanos,1,Región Central,GAM,Licenciatura,Grado,CINE 6,Ciencias Económicas,Administración de Recursos Humanos,Administración de Empresas y Derecho,Educación Comercial y Administración,NO STEM
2021,Tecnológico de Costa Rica,Administración de Ingeniería Electromecánica énfasis Administración de Energía,11,Sin Información,Sin información,Maestría,Posgrado,CINE 7,Ingeniería,Ingeniería Mecánica,"Ingeniería, Industria y Construcción",Ingeniería y Profesiones Afines,STEM
2021,Tecnológico de Costa Rica,Administración de Ingeniería Electromecánica énfasis Gerencia de Mantenimiento,38,Sin Información,Sin información,Maestría,Posgrado,CINE 7,Ingeniería,Ingeniería Mecánica,"Ingeniería, Industria y Construcción",Ingeniería y Profesiones Afines,STEM
2021,Tecnológico de Costa Rica,Administración de Tecnologías de Información,393,Región Central,GAM,Licenciatura,Grado,CINE 6,Computación,Tecnologías de Información,Tecnologías de la Información y Comunicación,Tecnologías de la Información y la Comunicación (TIC),STEM
2021,Tecnológico de Costa Rica,Arquitectura y Urbanismo,260,Región Central,GAM,Licenciatura,Grado,CINE 6,Ingeniería,Arquitectura,"Ingeniería, Industria y Construcción",Arquitectura y Construcción,STEM
2021,Tecnológico de Costa Rica,Cadena de Abastecimiento,42,Sin Información,Sin información,Maestría,Posgrado,CINE 7,Ingeniería,Ingeniería Industrial,"Ingeniería, Industria y Construcción",Industria y Producción,STEM
2021,Tecnológico de Costa Rica,Ciencia y Tecnología para la Sostenibilidad,13,Sin Información,Sin información,Maestría,Posgrado,CINE 7,Ciencias Básicas,Ciencias,"Ciencias Naturales, Matemáticas y Estadística",Medio Ambiente,STEM
2021,Tecnológico de Costa Rica,Ciencias Forestales,6,Sin Información,Sin información,Maestría,Posgrado,CINE 7,Recursos Naturales,Forestales,"Ciencias Naturales, Matemáticas y Estadística",Medio Ambiente,STEM
2021,Tecnológico de Costa Rica,Ciencias Naturales para el Desarrollo énfasis Gestión y Cultura Ambiental,1,Sin Información,Sin información,Doctorado,Posgrado,CINE 8,Ciencias Básicas,Ciencias,"Ciencias Naturales, Matemáticas y Estadística",Medio Ambiente,STEM
2021,Tecnológico de Costa Rica,Ciencias Naturales para el Desarrollo énfasis Sistemas de Producción Agrícola,6,Sin Información,Sin información,Doctorado,Posgrado,CINE 8,Ciencias Básicas,Ciencias,"Ciencias Naturales, Matemáticas y Estadística",Medio Ambiente,STEM
2021,Tecnológico de Costa Rica,Ciencias Naturales para el Desarrollo énfasis Tecnologías Electrónicas Aplicadas,1,Sin Información,Sin información,Doctorado,Posgrado,CINE 8,Ciencias Básicas,Ciencias,"Ciencias Naturales, Matemáticas y Estadística",Medio Ambiente,STEM
2021,Tecnológico de Costa Rica,Computación,1,Sin Información,Sin información,Maestría,Posgrado,CINE 7,Computación,Ciencias de la Computación,Tecnologías de la Información y Comunicación,Tecnologías de la Información y la Comunicación (TIC),STEM
2021,Tecnológico de Costa Rica,Computación énfasis Ciencias de la Computación,107,Sin Información,Sin información,Maestría,Posgrado,CINE 7,Computación,Ciencias de la Computación,Tecnologías de la Información y Comunicación,Tecnologías de la Información y la Comunicación (TIC),STEM
2021,Tecnológico de Costa Rica,Computación énfasis Sistemas de Información,11,Sin Información,Sin información,Maestría,Posgrado,CINE 7,Computación,Sistemas de Información,Tecnologías de la Información y Comunicación,Tecnologías de la Información y la Comunicación (TIC),STEM
2021,Tecnológico de Costa Rica,Computación énfasis Telemática,1,Sin Información,Sin información,Maestría,Posgrado,CINE 7,Computación,Ingeniería en Computadores,Tecnologías de la Información y Comunicación,Tecnologías de la Información y la Comunicación (TIC),STEM
2021,Tecnológico de Costa Rica,Dirección de Empresas,91,Sin Información,Sin información,Maestría,Posgrado,CINE 7,Ciencias Económicas,Administración,Administración de Empresas y Derecho,Educación Comercial y Administración,NO STEM
2021,Tecnológico de Costa Rica,Educación Técnica,6,Región Central,GAM,Licenciatura,Grado,CINE 6,Educación,Educación Técnica,Educación,Educación,NO STEM
2021,Tecnológico de Costa Rica,Electrónica énfasis Microsistemas,7,Sin Información,Sin información,Maestría,Posgrado,CINE 7,Ingeniería,Ingeniería Electrónica,"Ingeniería, Industria y Construcción",Ingeniería y Profesiones Afines,STEM
2021,Tecnológico de Costa Rica,Enseñanza de la Matemática con Entornos Tecnológicos,176,Región Central,GAM,Bachillerato,Grado,CINE 6,Educación,Enseñanza de Matemática,Educación,Educación,NO STEM
2021,Tecnológico de Costa Rica,Gerencia de Proyectos Ingeniería de la Construcción,34,Sin Información,Sin información,Maestría,Posgrado,CINE 7,Ciencias Económicas,Administración de Proyectos,Administración de Empresas y Derecho,Educación Comercial y Administración,NO STEM
2021,Tecnológico de Costa Rica,Gerencia de Proyectos énfasis Proyectos Empresariales,192,Sin Información,Sin información,Maestría,Posgrado,CINE 7,Ciencias Económicas,Administración de Proyectos,Administración de Empresas y Derecho,Educación Comercial y Administración,NO STEM
